"#","Category","Severity","Page / File","Issue","Current State","Suggested Fix"
"14","Thin Content","High","/tools/yaml-json","YAML to JSON converter has only ~241 words","241 words (THIN)","Add: What is YAML vs JSON, Syntax Differences, When to Use Each, Conversion Examples, FAQ"
"15","Thin Content","High","/tools/email-validator","Only ~256 words","256 words (THIN)","Add: How Email Validation Works, RFC 5322 Rules, MX Record Checking, Common Invalid Formats, FAQ"
"16","Thin Content","High","/tools/sitemap-validator","Only ~266 words","266 words (THIN)","Add: What is an XML Sitemap, Validation Rules, Common Errors, Sitemap Best Practices, FAQ"
"17","Thin Content","High","/tools/email-signature-generator","Only ~269 words","269 words (THIN)","Add: Why Email Signatures Matter, Key Elements, Design Tips, HTML vs Plain Text, FAQ"
"18","Thin Content","High","/tools/url-slug-generator","Only ~278 words","278 words (THIN)","Add: What is a URL Slug, SEO Best Practices, Special Characters Guide, Examples, FAQ"
"19","Thin Content","High","/tools/tweet-scheduler","Only ~297 words","297 words (THIN)","Add: Why Schedule Tweets, Best Times to Post, Content Calendar Strategy, Platform Alternatives, FAQ"
"20","Thin Content","High","/tools/subject-line-generator","Only ~299 words","299 words (THIN)","Add: What Makes a Good Subject Line, Open Rate Statistics, A/B Testing Tips, Spam Trigger Words, FAQ"
"21","Thin Content","High","/tools/x-account-checker","Only ~306 words","306 words (THIN)","Add: What Active/Suspended/Not Found Means, Use Cases, Rate Limit Notes, Bulk Checking Tips, FAQ"
"22","Thin Content","High","/tools/robots-txt-generator","Only ~317 words","317 words (THIN)","Add: Robots.txt Directives Reference, Common Bot Rules, Crawl Delay, AI Bot Blocking Guide, FAQ"
"23","Thin Content","High","/tools/og-image-preview","Only ~329 words","329 words (THIN)","Add: What Are OG Images, Optimal Dimensions Per Platform, Design Tips, Testing Tools, FAQ"
"24","Thin Content","High","/tools/schema-generator","Only ~352 words","352 words (THIN)","Add: What is Schema Markup, Types Explained, Rich Results Guide, Testing with Google, FAQ"
"25","Thin Content","High","/tools/spam-score-checker","Only ~366 words","366 words (THIN)","Add: How Spam Scoring Works, Key Spam Signals, Inbox Placement Tips, Common Triggers, FAQ"
"26","Thin Content","High","/tools/newsletter-template-generator","Only ~370 words","370 words (THIN)","Add: Email Template Best Practices, HTML vs Drag-and-Drop, Mobile Rendering Tips, CAN-SPAM Rules, FAQ"
"27","Thin Content","High","/tools/keyword-density","Only ~377 words","377 words (THIN)","Add: What is Keyword Density, Ideal Percentage Range, Keyword Stuffing Risks, TF-IDF Explained, FAQ"
"28","Thin Content","High","/tools/masked-email-generator","Only ~408 words","408 words (THIN)","Add: What Is Email Masking, Privacy Benefits, How Forwarding Works, Alias vs Masked Email, FAQ"
"29","Thin Content","High","/tools/timezone-converter","Only ~420 words","420 words (THIN)","Add: UTC Offsets Reference, Daylight Saving Time Explained, Global Meeting Scheduling Tips, FAQ"
"30","Thin Content","High","/tools/case-converter","Only ~445 words","445 words (THIN)","Add: Text Case Types Explained, Programming Naming Conventions, When to Use Each Case, FAQ"
"31","Thin Content","High","/tools/base64","Only ~499 words","499 words (THIN)","Add: What Is Base64 Encoding, How It Works, Common Use Cases, Base64 vs Encryption, FAQ"
"32","Thin Content","Medium","/tools/json-formatter","Only ~501 words","501 words (LOW)","Add: JSON Syntax Guide, Common JSON Errors, JSON Schema Overview, Minify vs Prettify, FAQ"
"33","Thin Content","Medium","/tools/sql-formatter","Only ~514 words","514 words (LOW)","Add: SQL Style Conventions, Readability Best Practices, Dialect Differences, Common Query Patterns, FAQ"
"34","Thin Content","Medium","/tools/at-formatter","Only ~516 words","516 words (LOW)","Add: What the Tool Does, Bulk Mention Use Cases, Output Format Examples, Platform Rules, FAQ"
"35","Thin Content","Medium","/tools/word-counter","Only ~519 words","519 words (LOW)","Add: Why Word Count Matters, Platform Word Limits Table, SEO Content Length Guide, FAQ"
"36","Thin Content","Medium","/tools/funny-bios","Only ~531 words","531 words (LOW)","Add: Writing a Funny Bio, Humor Styles for Social Media, Platform-Specific Examples, FAQ"
"37","Thin Content","Medium","/tools/profile-link-generator","Only ~534 words","534 words (LOW)","Add: What Profile Links Do, Link-in-Bio Strategy, Multi-Platform Setup, Free vs Paid Tools, FAQ"
"38","Thin Content","Medium","/tools/username-generator","Only ~542 words","542 words (LOW)","Add: How to Choose a Username, Availability Checking Tips, Brand Consistency Guide, FAQ"
"39","Thin Content","Medium","/tools/url-encoder","Only ~585 words","585 words (LOW)","Add: What URL Encoding Is, Percent-Encoding Reference, Special Character Chart, Encode vs Decode, FAQ"
"40","Thin Content","Medium","/tools/hashtag-formatter","Only ~594 words","594 words (LOW)","Add: Hashtag Best Practices Per Platform, Discovery Tips, Research Strategy, Banned Hashtags, FAQ"
"41","Thin Content","Medium","/tools/bio-generator","Only ~595 words","595 words (LOW)","Add: Bio Writing Tips, Platform Character Limits, Tone Examples by Niche, What to Include, FAQ"
"42","Thin Content","Medium","/tools/font-preview","Only ~599 words","599 words (LOW)","Add: How to Choose Fonts, Web-Safe vs Custom Fonts, Font Pairing Guide, Readability Tips, FAQ"
"43","Thin Content","Medium","/tools/tweet-formatter","Only ~632 words","632 words (LOW)","Add: Thread Best Practices, Hook Writing Guide, 280-Character Strategy, Engagement Tips, FAQ"
"44","Thin Content","Medium","/tools/character-counter","Only ~639 words","639 words (LOW)","Add: Platform Character Limits Table, Why Limits Exist, Bio vs Post vs DM Limits, FAQ"
"45","Thin Content","Medium","/tools/page-speed-checker","Only ~668 words","668 words (LOW)","Add: What Affects Page Speed, Core Web Vitals Explained, Optimization Checklist, Tool Comparison, FAQ"
"46","Thin Content","Medium","/tools/temp-gmail","Only ~692 words","692 words (LOW)","Add: Temp Gmail vs Real Gmail Comparison, Privacy Use Cases, Limitations, Safety Tips, FAQ"
"47","Thin Content","Medium","/tools/jwt-decoder","Only ~756 words","756 words (LOW)","Add: JWT vs Session Tokens, Header/Payload/Signature Breakdown, Security Best Practices, Claims Reference, FAQ"
"48","Thin Content","High","/blog","Blog index page has only ~190 words — near-empty landing for a site with 15 articles","190 words (STUB)","Add editorial intro, featured article highlights, category descriptions, and excerpt grid for all 15 articles"
"49","Thin Content","High","/blog/seo-meta-tags-guide","Only ~490 words for an SEO guide article","490 words (THIN)","Expand with: OG Tag Examples, Twitter Card Markup, Canonical Tag Guide, Structured Data Tags, Testing Tools section"
"50","Thin Content","Medium","/blog/what-is-regex","Only ~549 words for a developer reference article","549 words (LOW)","Expand with: Regex Syntax Reference Table, Language Examples (JS/Python/PHP), Common Patterns Library, Cheat Sheet"
"51","Thin Content","Medium","/blog/what-is-jwt","Only ~561 words","561 words (LOW)","Expand with: JWT vs OAuth 2.0, Security Vulnerabilities (alg:none attack), Implementation Examples, Best Practices"
"52","Thin Content","Medium","/blog/how-to-use-temp-email-extension","Only ~737 words for a how-to guide","737 words (LOW)","Add: Step-by-step walkthrough, Use Cases section, Extension Settings Guide, Troubleshooting FAQ"
"53","Thin Content","High","/email-tools","Email Tools category page has only ~234 words","234 words (THIN)","Add intro paragraph, tool benefit descriptions, use-case scenarios, comparison table, FAQ (target 800+ words)"
"54","Thin Content","High","/ai-writing-tools","AI Writing Tools category has only ~263 words","263 words (THIN)","Add AI writing overview, how tools work, use cases by profession, limitations, FAQ"
"55","Thin Content","High","/social-media-tools","Social Media Tools category has only ~280 words","280 words (THIN)","Add platform-specific strategy tips, social media marketing overview, tool use cases, FAQ"
"56","Thin Content","High","/seo-tools","SEO Tools category has only ~284 words","284 words (THIN)","Add SEO fundamentals intro, when to use each tool, on-page vs technical SEO overview, FAQ"
"57","Thin Content","High","/developer-tools","Developer Tools category has only ~294 words","294 words (THIN)","Add developer workflow overview, tool integration examples, productivity tips, FAQ"
"58","Thin Content","Medium","/text-format-tools","Text Format Tools category has only ~351 words","351 words (THIN)","Add text formatting use cases, professional writing tips, tool comparison by use case, FAQ"
"59","Schema Markup","High","/tools/ (59 pages)","59 of 60 tool pages have no structured data (schema.org JSON-LD)","Only 1 tool has schema markup","Add WebApplication + FAQPage JSON-LD to all tool pages via SeoHead extraSchemas prop. Enables rich results in Google Search."
"60","Open Graph","Medium","/tools/ (58 pages)","58 of 60 tool pages have no custom OG image — social shares use the site-wide opengraph.jpg default","Only 2 tools have a custom og:image","Create per-tool OG images (1200x630px) or implement dynamic OG image generation. Improves social share CTR."
"61","Technical SEO","High","/cws-screenshots","Utility page for Chrome Web Store screenshots is publicly routed with no noindex tag","No noindex meta; not blocked in robots.txt; not in sitemap","Add noindex, nofollow via SeoHead — this is an internal utility page not intended for search indexing"
"62","Technical SEO","Medium","/admin","Admin page is in App.tsx router without a noindex meta tag (only protected by robots.txt Disallow)","robots.txt Disallow only — no meta noindex fallback","Add noindex, nofollow to admin page via SeoHead as defense-in-depth; robots.txt controls crawling but not indexing via external links"
"63","Code Quality","Low","16 orphaned .tsx files","Dead-code page files exist in /src/pages/tools/ but are all 301-redirected via vercel.json and never rendered by the SPA","aesthetic-bios, alias-email-explainer, bio-ideas, disposable-email-guide, email-ab-tester, email-character-counter, email-leak-checker, email-privacy-checker, email-username-generator, follower-analyzer, name-ideas, plain-text-formatter, professional-bios, profile-audit, spam-risk-checker, backlink-analyzer","Delete all 16 dead .tsx files — they are never served and clutter the codebase for future developers"
"64","robots.txt","Low","/robots.txt","PerplexityBot and YouBot are blocked — these AI search engines surface content in AI-driven answers and drive referral traffic","Disallow: / for PerplexityBot and YouBot","Consider allowing PerplexityBot and YouBot. AI search tools are a growing discovery channel. Blocking reduces visibility in AI-generated answers."
"65","Sitemap","Low","sitemap-pages.xml","Most static pages have lastmod 2026-05-13; content has been updated since","Dates frozen at 2026-05-13 across most pages","Update lastmod to today whenever page content changes. Stale dates signal low-priority recrawl to Googlebot."
